Date;Company;Stock;Assets to Market Cap;BV Equity to Market Cap;Debt to Equity;Net Income;Oil;Gas;Market;EURUSD;GBPUSD;CNYUSD;JPYUSD;RUBUSD;INRUSD;BRLUSD
31.12.2015;1;0,047283923;0,038743903;2,382074173;3,085595829;-1,035065046;-0,196662083;-0,076976889;0,064731662;-0,028587636;-0,026253852;-0,021329345;-0,003121626;-0,109803187;-0,00994902;-0,003163308
30.09.2015;1;-0,112463675;0,095871142;2,67875202;2,965427693;-0,611836166;-0,276811491;-0,115138231;-0,080790794;0,002687692;-0,03787742;-0,023619188;0,021691247;-0,167054085;-0,0302848;-0,240597914
30.06.2015;1;-0,021403909;0,004025781;2,037017804;2,939437016;-0,626330306;0,222639222;0,070204259;-0,010499173;0,038033654;0,058582094;-0,001302851;-0,01953116;0,050507188;-0,020523226;0,029608462
31.03.2015;1;-0,084016701;-0,035584971;1,842640328;2,916050334;-0,40891821;-0,11254056;-0,090131504;-0,002487702;-0,119903401;-0,049952809;0,000992494;-0,003717254;-0,002906134;0,014751845;-0,187476618
31.12.2014;1;-0,017158598;-0,105507017;1,45834167;2,777781467;0,063590745;-0,537242883;-0,355185431;0,044679991;-0,04311396;-0,040017922;-0,010925023;-0,087609642;-0,382570066;-0,021149581;-0,080674529
30.09.2014;1;-0,068120615;-0,121410606;1,510993694;2,454885491;0,498414936;-0,144861761;-0,079277104;0,012542727;-0,080657611;-0,05361589;0,010676807;-0,078928727;-0,152452598;-0,030728504;-0,099524448
30.06.2014;1;0,03025034;-0,180220832;1,132442686;2,448337751;0,70423172;0,0366313;0,02038114;0,021759945;-0,005607968;0,026298602;0,002049627;0,018613751;0,03106912;-0,002698248;0,025783291
31.03.2014;1;-0,035401927;-0,172353992;1,108219154;2,458126234;0,796994215;0,03160263;0,032789823;-0,00738466;0,001890085;0,006321704;-0,02632296;0,019808821;-0,063508011;0,032560308;0,039847755
31.12.2013;1;0,162286452;-0,235049054;0,822559544;2,531790236;0,579582119;-0,03895885;0,172441448;0,091107965;0,015841915;0,022662302;0,010593061;-0,069449052;-0,016642577;0,01100997;-0,062749519
30.09.2013;1;-0,048878713;-0,078397634;1,465420538;2,496036153;0,440438377;0,058038308;-0,001403509;0,014322416;0,038969396;0,061996346;0,00281932;0,009276687;0,014341836;-0,04685828;0,005118516
28.06.2013;1;0,002659871;-0,152065628;1,054706829;2,423128759;0,147656755;-0,006914729;-0,121112379;0,021774716;0,014789847;0,000986485;0,011854186;-0,051025561;-0,054930794;-0,091314252;-0,09830759
28.03.2013;1;0,040308865;-0,165152673;1,061494166;2,047589612;0,912947332;0,057249167;0,183017624;0,106542374;-0,028757941;-0,067236714;0,003359466;-0,08277845;-0,016946947;0,006613311;0,014051753
31.12.2012;1;-0,055070093;-0,154716992;1,160607055;1,909023852;1,04339459;-0,004021526;0,009294026;-0,02542356;0,025564667;0,005428426;0,008636929;-0,106833844;0,020371075;-0,036346101;-0,011419374
28.09.2012;1;0,06645762;-0,218195157;0,845433048;1,975247013;0,933239128;0,081671107;0,161810463;0,041599062;0,015121532;0,028865655;0,010997456;0,02366041;0,037488507;0,046321109;-0,007876442
29.06.2012;1;-0,01346509;-0,180846966;0,983429191;2,227344172;2,771096045;-0,192742587;0,28391204;-0,025875827;-0,051991716;-0,018982124;-0,009613634;0,037568448;-0,099451216;-0,083483515;-0,096388584
30.03.2012;1;0,022976111;-0,161257989;0,744187459;2,255063624;0,898453193;0,041521942;-0,340696603;0,077314274;0,029047054;0,029478221;0,000944614;-0,074468956;0,093319197;0,041879771;0,020486091
30.12.2011;1;0,154445674;-0,192318782;0,696897852;2,360514321;0,883959053;0,221424904;-0,204162266;0,112044702;-0,032339238;-0,00263437;0,013063792;0,001385468;0,002577321;-0,081831157;0,008426227
30.09.2011;1;-0,113751483;-0,074179717;1,455688059;2,335381367;1,153550052;-0,186311901;-0,176576773;-0,129552697;-0,080002484;-0,029651001;0,012525455;0,044896499;-0,145914087;-0,092694355;-0,184731838
30.06.2011;1;-0,033233679;-0,193056466;0,794536663;2,321230188;1,25500903;-0,111920382;-0,003423488;0,007520214;0,024006736;0,001558555;0,012946217;0,03142391;0,018003299;-0,000758269;0,043287122
31.03.2011;1;0,140261294;-0,260029966;0,459114909;2,31035483;1,246312546;0,155181946;-0,003638849;0,061907619;0,056219872;0,026297343;0,008020554;-0,024147034;0,07238453;0,002812941;0,016790518
31.12.2010;1;0,168360388;-0,18521666;0,914772846;2,285815262;0,840476634;0,133375072;0,12896909;0,070475383;-0,018506709;-0,006639452;0,01342302;0,02881332;0,002138385;0,004975469;0,016064603
30.09.2010;1;0,079462955;-0,037980208;1,656849949;2,497115155;0,289699324;0,055798534;-0,17575736;0,097771195;0,108020808;0,050302506;0,013605652;0,057143675;0,021951724;0,033213807;0,067692387
30.06.2010;1;-0,160115483;0,001607652;1,853359396;2,643013778;0,350574711;-0,102102537;0,176532453;-0,106298108;-0,098884287;-0,015865446;0,006599786;0,055266698;-0,060054428;-0,035547739;-0,015226447
31.03.2010;1;-0,017903859;-0,259507085;0,387285975;2,083333956;-0,01467761;0,053961104;-0,36475798;0,038696662;-0,05829684;-0,062915432;0,000136537;-0,004941044;0,020220731;0,0371284;-0,019889769
31.12.2009;1;-0,00614037;-0,323164919;0,202213653;2,119118881;-0,087148308;0,116822685;0,140632745;0,069358227;-0,022030517;0,011694585;-0,000204799;-0,036254712;-0,000600601;0,0333033;0,013863519
30.09.2009;1;-0,018770404;-0,350889419;0,042221098;2,147812553;-0,469793597;0,0102492;0,232951876;0,138029715;0,04234581;-0,029348592;0,000682827;0,071847679;0,037001622;-0,00412827;0,099897466
30.06.2009;1;0,026231487;-0,402481238;-0,113107488;2,121482793;-0,695902177;0,341722797;0,015504187;0,103960105;0,057414146;0,138945044;0,00040992;0,026660434;0,08616212;0,057324683;0,174037279
31.03.2009;1;-0,158922161;-0,401235782;-0,062961148;2,11188453;-0,5219725;0,107465921;-0,398022224;-0,143873918;-0,0529862;-0,018675325;-0,001433986;-0,086871159;-0,143960689;-0,041146617;-0,004174403
31.12.2008;1;0,027559049;-0,554952056;-0,519060525;2,081901015;0,425944238;-0,813815934;-0,279914523;-0,214040746;-0,008623508;-0,198937355;0,003691555;0,156542917;-0,136650604;-0,035769329;-0,19474122
30.09.2008;1;-0,126472673;-0,432999946;-0,272026775;2,103219102;2,458022627;-0,33009263;-0,585139083;-0,047052717;-0,111550515;-0,112395526;0,000753657;0,000955465;-0,089722071;-0,086094948;-0,171790105
30.06.2008;1;0,041115165;-0,53997523;-0,787867849;2,043853223;1,544891824;0,320795757;0,27910665;-0,078169004;-0,002092383;0,004325962;0,022807824;-0,063376136;0,002112429;-0,071833416;0,092714898
31.03.2008;1;-0,102293628;-0,548449726;-0,754396984;2,095044185;1,315884417;0,056706829;0,300000648;-0,087637789;0,078982338;-0,000655126;0,040789856;0,114250254;0,047393114;-0,01765313;0,008483614
31.12.2007;1;0,012134377;-0,733775001;-1,051694997;2,026752537;1,539094169;0,161575551;0,085469675;-0,063818984;0,022318642;-0,030902938;0,027321879;0,026958253;0,008660205;0,008946657;0,032103749
28.09.2007;1;0,098469877;-0,759226435;-1,230638296;2,025618735;0,886857881;0,144401638;0,014219986;0,022466618;0,052227058;0,019034105;0,014517116;0,070264797;0,035668382;0,023496414;0,051138961
29.06.2007;1;0,105917021;-0,711737899;-1,050071948;2,022183123;1,133258256;0,070479545;-0,132164742;0,049469556;0,013906155;0,020571579;0,014421852;-0,044328587;0,009054518;0,06674472;0,065155996
30.03.2007;1;-0,01551846;-0,643600665;-0,836720045;2,038658609;0,849173118;0,075989902;0,204717972;-0,046778063;0,011826434;0,004584127;0,011032666;0,01042293;0,01307892;0,016808594;0,03797792
29.12.2006;1;0,132804601;-0,69538942;-0,842583371;1,959376216;1,130359428;-0,030011933;0,114059227;0,016907939;0,04043688;0,045271245;0,011629865;-0,007472901;0,017530329;0,037103902;0,016821617
29.09.2006;1;0,089588873;-0,558134622;-0,494808651;1,996969845;1,199931299;-0,161413566;-0,08261263;-0,003990878;-0,009189148;0,012794498;0,011286981;-0,032210214;0,001877431;0,002713581;-0,004773279
30.06.2006;1;0,008019027;-0,500937752;-0,26894274;1,976716439;1,162246536;0,103963773;-0,166524657;-0,046435167;0,054049848;0,061991676;0,002962016;0,028788988;0,03108211;-0,03164075;0,000432994
31.03.2006;1;0,080193338;-0,53334675;-0,407806056;1,961234979;0,594076259;0,08762554;-0,442674482;-0,012863524;0,022448475;0,008207664;0,006676613;-0,000353253;0,038102535;0,009279457;0,076709882
30.12.2005;1;-0,123286822;-0,502919472;-0,087938094;1,941055527;1,263705514;-0,081755123;-0,215255058;-0,035828883;-0,014827497;-0,023687054;0,002747921;-0,036754397;-0,007737537;-0,022973141;-0,047263676
30.09.2005;1;0,100406556;-0,634046544;-0,785702196;2,05904749;1,034698106;0,159043872;0,690206318;-0,017884038;-0,006795419;-0,015299247;0,022838958;-0,022775428;0,002858778;-0,011074019;0,044928318
30.06.2005;1;-0,036392502;-0,585270519;-0,602613657;2,161804632;0,373765335;0,019661044;-0,091905555;-0,062812448;-0,068309894;-0,053788087;-0,000413924;-0,03466665;-0,026555233;0,005149702;0,141863519
31.03.2005;1;0,150744853;-0,634027349;-0,780597999;2,082835775;0,43753955;0,242968742;0,218808261;-0,061668459;-0,044505421;-0,014545902;0;-0,043095204;-0,005282926;-0,006280825;-0,013086046
31.12.2004;1;0,058858235;-0,519053431;-0,213605278;2,05990188;0,599873914;-0,133186109;-0,099897581;0,036181699;0,086086215;0,056956039;0;0,06980689;0,052373949;0,055791003;0,075190256
30.09.2004;1;0,084587817;-0,508911923;-0,400013265;2,360080117;-0,194404942;0,292528609;0,098922288;-0,062351491;0,01915954;-0,00462505;0;-0,011706277;-0,005246296;4,60E-05;0,07512063
30.06.2004;1;0,065604916;-0,46767748;-0,195211754;2,352270095;-0,162517835;0,035438401;0,036734772;-0,014688666;-0,009463278;-0,014073215;8,28E-05;-0,042274061;-0,020144566;-0,055880458;-0,063034152
31.03.2004;1;0,014287687;-0,411725356;-0,040707071;2,386337833;-0,263976813;0,094974666;-0,042243535;-0,026296823;-0,02240068;0,033262978;-8,28E-05;0,027911739;0,025975486;0,049007579;-0,001735609
31.12.2003;1;0,113523826;-0,435129713;0,068364243;2,325402778;0,086781368;0,107686575;0,247927055;0,10698795;0,077393052;0,071965142;8,28E-05;0,039250734;0,047913356;0,002285715;0,003474236
30.09.2003;1;0,019032432;-0,370564632;0,066419048;2,440911222;-0,782867015;-0,033342034;-0,113587451;0,022293588;0,012516888;0,004342064;8,28E-05;0,071640697;-0,009160369;0,034927881;-0,020666637
30.06.2003;1;0,02709734;-0,369363848;0,059685697;2,50767872;-0,632127962;-0,027765952;0,067067435;0,107928182;0,05325198;0,044427038;-8,28E-05;-0,014036153;0,030866648;0,00237248;0,165866773
31.03.2003;1;0,000286164;-0,362298053;0,004029542;2,59493376;0,199835658;-0,0051414;0,055044862;-0,052231333;0,039524928;-0,01710193;0;0,005923486;0,018987912;0,007151401;0,054085852
31.12.2002;1;0,091026295;-0,427631418;-0,117095972;2,631356324;-0,655318586;0,024332101;0,146109042;0,0856628;0,061518559;0,026178188;0;0,024172905;-0,008272398;0,011065785;0,054932886
30.09.2002;1;-0,249012931;-0,361916779;0,085723713;2,679026389;-1,075648638;0,125447803;0,243097229;-0,207938796;-0,004954259;0,022503287;0;-0,017855463;-0,006631952;0,010700491;-0,283090395
28.06.2002;1;-0,068699573;-0,623419332;-0,799689032;2,711710162;-1,075648638;0,020689096;-0,011642288;-0,130239943;0,12877362;0,072749511;0;0,104391105;-0,008462674;-0,00195408;-0,19218168
28.03.2002;1;0,109093996;-0,738502971;-1,127352044;2,676029638;-1,235084175;0,282248993;0,24485174;0,021931796;-0,020214179;-0,019927755;-8,28E-05;-0,008064027;-0,022833451;-0,011162455;-0,006257988
31.12.2001;1;-0,002541297;-0,62299736;-0,649155228;2,654354022;-1,064053326;-0,166317151;0,135645911;0,10774107;-0,024322372;-0,013520179;8,28E-05;-0,096446646;-0,034775686;-0,008171158;0,145218113
28.09.2001;1;-0,10301004;-0,599990133;-0,77346318;2,713389256;-0,919111929;-0,113648737;-0,321850968;-0,189232088;0,070922693;0,040909605;-8,28E-05;0,041873679;-0,010551094;-0,017556797;-0,14081843
29.06.2001;1;0,075473882;-0,703931545;-1,115743089;2,729106944;-0,548061952;-0,00152265;-0,484314498;0,04396478;-0,032105672;-0,000565091;0,000165549;0,013177075;-0,013609592;-0,008897272;-0,076376392
30.03.2001;1;-0,070741465;-0,630314354;-0,967150221;2,881835427;-0,391525243;-0,019213249;-0,665402652;-0,111648777;-0,07258324;-0,052880904;-8,28E-05;-0,099138572;-0,021059401;0,001866543;-0,097633469
29.12.2000;1;-0,024631563;-0,703955796;-1,102295219;2,899590248;-0,327751028;-0,140410661;0,633865419;-0,023878474;0,065649424;0,011858379;0,000331153;-0,056274575;-0,013426775;-0,014835692;-0,055933448
29.09.2000;1;0,126723558;-0,73678974;-1,400686859;3,040155775;-0,539365468;-0,052427541;0,147232897;-0,023614728;-0,075991433;-0,025892064;-0,00016559;-0,020232987;0,010333844;-0,029473909;-0,024229257
30.06.2000;1;0,006389798;-0,623403481;-1,112212164;3,084232958;-0,527770156;0,189113803;0,418620973;-0,103321693;-0,003144657;-0,049604398;0;-0,030476164;0,020707023;-0,024278394;-0,03605905
31.03.2000;1;-0,032325695;-0,639557049;-1,191422238;3,16988304;-0,83214709;0,049533935;0,234669826;-0,113413875;-0,051701374;-0,016888819;8,28E-05;-0,002771649;-0,039341966;-0,001307475;0,035519239
31.12.1999;1;0,058301182;-0,661778308;-1,170468003;3,341146554;-0,62777972;0,043511154;-0,163977719;0,047830747;-0,059981343;-0,017823164;-0,000165577;0,036538511;-0,08779182;0,00174368;0,074287877
30.09.1999;1;-0,014694142;-0,670235148;-1,195644931;3,048841668;-1,206675661;0,239494371;0,136451103;-0,118222287;0,031664162;0,043106112;8,28E-05;0,130059035;-0,039589534;-0,005655878;-0,061797896
30.06.1999;1;0,088927223;-0,71905676;-1,298410646;3,074414056;-1,274508235;0,140591732;0,17333946;0,060988967;-0,038938278;-0,020947771;0,00016559;-0,018595701;0,02505658;-0,021884589;-0,05871559
31.03.1999;1;-0,035670046;-0,635579248;-1,039515188;2,972156537;-1,410753148;0,329930435;0,03436417;0,015276177;-0,08663963;-0,029838359;-8,28E-05;-0,042584377;-0,187490595;0,001274156;-0,351715915
31.12.1998;1;0,034786116;-0,595979587;-0,935166758;3,253509109;-0,903458258;-0,292236003;-0,223863087;0,109820004;0,00255951;-0,02316338;-0,000165577;0,180659879;-0,259393344;-0,000849618;-0,019029956
30.09.1998;1;-0,010563479;-0,589517968;-0,986591238;3,080266418;-1,435103303;0,129468142;-0,014688147;-0,177055126;0,075844289;0,018415633;0,000248375;0,016788615;-0,942763004;-0,000848896;-0,024822724
30.06.1998;1;0,053969931;-0,624373237;-1,061555413;3,08530786;-1,371329088;-0,096079213;-0,021239027;-0,027370906;0,024441515;-0,002754163;-8,28E-05;-0,041987011;-0,014949065;-0,07161988;-0,016970938
31.03.1998;1;0,100033183;-0,555373375;-0,884436353;3,112230039;-1,313352529;-0,122257316;0,107919077;0,06321374;-0,02977241;0,016457556;0;-0,01884983;-0,02454814;-0,007475935;-0,01869845
31.12.1997;1;-0,045916176;-0,447869378;-0,399140078;3,073628063;-1,116232229;-0,18288829;-0,308445577;-0,055449012;-0,017897366;0,018155553;0,000662581;-0,080263669;-0,016369105;-0,080916794;-0,018026477
30.09.1997;1;0,044896881;-0,486478358;-0,767591994;3,131084507;-1,313352529;0,067375402;0,365240307;-0,016306038;-0,013326972;-0,030479014;0,000745929;-0,050521727;-0,013622285;-0,009714054;-0,0179226
30.06.1997;1;0,128297301;-0,467765692;-0,596920277;3,095668102;-1,271319524;-0,030343039;0,104893117;0,099648342;-0,034836994;0,017075801;0,000580552;0,077391931;-0,009724177;0,002150538;-0,016019138
31.03.1997;1;0,09484625;-0,33547936;-0,163905635;3,114963149;-1,210444137;-0,238989895;-0,358697819;-0,030248365;-0,087211574;-0,045720202;0,000331895;-0,067605428;-0,031229639;-0,00071736;-0,019929336
31.12.1996;1;0,16311935;-0,242422463;0,381188555;3,065281657;-1,117681643;0,061251747;0,219342298;0,040216286;-0,006896579;0,090752321;0,000415024;-0,037916006;-0,028127709;-0,002148998;-0,016990575
30.09.1996;1;-0,042624477;-0,100775641;0,739255442;3,143583151;-1,388722056;0,153057485;-0,27369583;-0,013768869;-0,000390427;0,008082148;0,002410541;-0,015145942;-0,055418166;-0,019135949;-0,016907515
