Date;Company;Assets
29.12.2000;3;31699,4297
29.09.2000;3;28639,0742
30.06.2000;3;30256,4805
31.03.2000;3;28060,5703
31.12.1999;3;26456,4707
30.09.1999;3;22604,1172
30.06.1999;3;19460,4004
31.03.1999;3;18886,5254
31.12.1998;3;19138,5195
30.09.1998;3;19549,8301
30.06.1998;3;18405,6543
31.03.1998;3;18351,8828
31.12.1997;3;18414,5547
30.09.1997;3;18013,8184
30.06.1997;3;12296,2373
31.03.1997;3;12220,1387
31.12.1996;3;12287,8574
30.09.1996;3;12135,8418
28.06.1996;3;12174,7861
31.12.2015;4;266103
30.09.2015;4;268449
30.06.2015;4;266455
31.03.2015;4;269604
31.12.2014;4;266026
30.09.2014;4;265431
30.06.2014;4;262045
31.03.2014;4;258238
31.12.2013;4;253753
30.09.2013;4;247838
28.06.2013;4;244048
28.03.2013;4;237410
31.12.2012;4;232982
28.09.2012;4;226864
29.06.2012;4;219379
30.03.2012;4;214890
30.12.2011;4;209474
30.09.2011;4;204099
30.06.2011;4;201717
31.03.2011;4;194736
31.12.2010;4;184769
30.09.2010;4;177199
30.06.2010;4;171746
31.03.2010;4;168932
31.12.2009;4;164621
30.09.2009;4;162561
30.06.2009;4;161201
31.03.2009;4;159426
31.12.2008;4;161165
30.09.2008;4;165710
30.06.2008;4;163066
31.03.2008;4;152847
31.12.2007;4;148786
28.09.2007;4;139554
29.06.2007;4;139606
30.03.2007;4;136006
29.12.2006;4;132628
29.09.2006;4;134121
30.06.2006;4;131183
31.03.2006;4;127731
30.12.2005;4;125833
30.09.2005;4;124809
30.06.2005;4;99040
31.03.2005;4;95803
31.12.2004;4;93208
30.09.2004;4;91020
30.06.2004;4;88563
31.03.2004;4;85107
31.12.2003;4;81470
30.09.2003;4;81311
30.06.2003;4;80586
31.03.2003;4;81302
31.12.2002;4;77359
30.09.2002;4;76447
28.06.2002;4;77642
28.03.2002;4;78670
31.12.2001;4;77572
28.09.2001;4;44529
29.06.2001;4;44055
30.03.2001;4;42817
29.12.2000;4;77621
29.09.2000;4;41646
30.06.2000;4;41378
31.03.2000;4;41249
31.12.1999;4;40668
30.09.1999;4;40153
30.06.1999;4;38402
31.03.1999;4;37766
31.12.1998;4;36540
30.09.1998;4;36570
30.06.1998;4;36176
31.03.1998;4;35850
31.12.1997;4;35473
30.09.1997;4;35471
30.06.1997;4;34957
31.03.1997;4;34917
31.12.1996;4;34854
30.09.1996;4;35079
28.06.1996;4;34658
31.12.2015;5;34195
30.09.2015;5;36456
30.06.2015;5;35558
31.03.2015;5;36101
31.12.2014;5;38407
30.09.2014;5;40975
30.06.2014;5;41071
31.03.2014;5;41424
31.12.2013;5;42754
30.09.2013;5;41896
28.06.2013;5;41428
28.03.2013;5;42379
31.12.2012;5;43441
28.09.2012;5;42212
29.06.2012;5;40614
30.03.2012;5;40647
30.12.2011;5;39136
30.09.2011;5;37339
30.06.2011;5;36991
31.03.2011;5;36637
31.12.2010;5;35396
30.09.2010;5;33485
30.06.2010;5;29500
31.03.2010;5;29949
31.12.2009;5;29465
30.09.2009;5;28437
30.06.2009;5;28916
31.03.2009;5;28433
31.12.2008;5;28589
30.09.2008;5;29578
30.06.2008;5;30739
31.03.2008;5;27013
31.12.2007;5;26131
28.09.2007;5;23936
29.06.2007;5;23237
30.03.2007;5;22727
29.12.2006;5;22442
29.09.2006;5;21627
30.06.2006;5;21244
31.03.2006;5;19885
30.12.2005;5;19115
30.09.2005;5;18855
30.06.2005;5;17459
31.03.2005;5;16916
31.12.2004;5;16312
30.09.2004;5;15735
30.06.2004;5;14546
31.03.2004;5;14116
31.12.2003;5;13983
30.09.2003;5;13211
30.06.2003;5;13600
31.03.2003;5;13963
31.12.2002;5;13262
30.09.2002;5;13627
28.06.2002;5;13862
28.03.2002;5;14162
31.12.2001;5;15369
28.09.2001;5;15291
29.06.2001;5;10864
30.03.2001;5;10246
29.12.2000;5;10274
29.09.2000;5;9069
30.06.2000;5;8880
31.03.2000;5;8034
31.12.1999;5;7727,7119
30.09.1999;5;7938,964
30.06.1999;5;8205,776
31.03.1999;5;7974,309
31.12.1998;5;7882,9834
30.09.1998;5;8645,1689
30.06.1998;5;7777,8882
31.03.1998;5;7676,4468
31.12.1997;5;7934,6191
30.09.1997;5;7637,9038
30.06.1997;5;7347,8052
31.03.1997;5;7378,855
31.12.1996;5;7784,481
30.09.1996;5;7304,7559
28.06.1996;5;7036,7729
31.12.2015;6;11493,812
30.09.2015;6;12627,962
30.06.2015;6;15149,964
31.03.2015;6;15160,837
31.12.2014;6;16723,738
30.09.2014;6;17845,766
30.06.2014;6;17873,934
31.03.2014;6;17551,138
31.12.2013;6;17509,484
30.09.2013;6;17491,086
28.06.2013;6;18824,975
28.03.2013;6;17751,685
31.12.2012;6;17522,643
28.09.2012;6;16589,837
29.06.2012;6;15000,768
30.03.2012;6;14936,948
30.12.2011;6;14138,138
30.09.2011;6;15491,082
30.06.2011;6;15567,036
31.03.2011;6;14884,121
31.12.2010;6;14233,243
30.09.2010;6;13732,622
30.06.2010;6;13547,316
31.03.2010;6;13169,842
31.12.2009;6;12756,359
30.09.2009;6;12279,046
30.06.2009;6;12109,268
31.03.2009;6;11064,876
31.12.2008;6;11149,098
30.09.2008;6;11830,77
30.06.2008;6;12231,196
31.03.2008;6;11260,793
31.12.2007;6;10535,849
28.09.2007;6;9530,944
29.06.2007;6;8588,666
30.03.2007;6;8076,484
29.12.2006;6;7483,161
29.09.2006;6;7346,343
30.06.2006;6;7101,599
31.03.2006;6;6507,432
30.12.2005;6;6368,511
30.09.2005;6;6243,358
