Date;Company;Stock;Assets to Market Cap;BV Equity to Market Cap;Debt to Equity;Net Income;Oil;Gas;Market;EURUSD;GBPUSD;CNYUSD;JPYUSD;RUBUSD;INRUSD;BRLUSD;T-Bill3M
31.12.2009;1;68,19;0,723854467;0,357988774;8,3238;6050;79,36;5,572;10428,05;1,4321;1,617;0,14647;0,010753;0,03329;0,021493;0,5738;0,00175
30.09.2009;1;68,61;0,704061605;0,344205917;8,5661;4730;70,61;4,841;9712,28;1,464;1,5982;0,1465;0,01115;0,03331;0,020789;0,5659;0,00155
30.06.2009;1;69,91;0,668658884;0,330824847;8,3435;3950;69,89;3,835;8447;1,4033;1,6458;0,1464;0,010377;0,0321;0,020875;0,5121;0,00053
31.03.2009;1;68,1;0,669492188;0,335144797;8,2638;4550;49,66;3,776;7608,92;1,325;1,4323;0,14634;0,010104;0,02945;0,019712;0,4303;0,00113
31.12.2008;1;79,83;0,574099785;0,295853266;8,0197;7820;44,6;5,622;8776,39;1,3971;1,4593;0,14655;0,011021;0,03401;0,02054;0,4321;0,00188
30.09.2008;1;77,66;0,648560527;0,317134449;8,1925;14830;100,64;7,438;10850,66;1,4092;1,7805;0,14601;0,009424;0,03899;0,021288;0,525;0,00206
30.06.2008;1;88,13;0,582762687;0,272696358;7,7203;11680;140;13,353;11350,01;1,5755;1,9923;0,1459;0,009415;0,04265;0,023202;0,6234;0,00081
31.03.2008;1;84,58;0,577844934;0,275579768;8,1258;10890;101,58;10,101;12262,89;1,5788;1,9837;0,14261;0,010031;0,04256;0,02493;0,5682;0,0091
31.12.2007;1;93,69;0,480093213;0,249968477;7,5894;11660;95,98;7,483;13264,82;1,4589;1,985;0,13691;0,008948;0,04059;0,025374;0,5634;0,01736
28.09.2007;1;92,56;0,468028337;0,234553073;7,5808;9410;81,66;6,87;13895,63;1,4267;2,0473;0,13322;0,00871;0,04024;0,025148;0,5456;0,01321
29.06.2007;1;83,88;0,490790512;0,250108298;7,5548;10260;70,68;6,773;13408,62;1,3541;2,0087;0,1313;0,008119;0,03883;0,024564;0,5184;0,03242
30.03.2007;1;75,45;0,525397235;0,268487895;7,6803;9280;65,87;7,73;12354,35;1,3354;1,9678;0,12942;0,008487;0,03848;0,022978;0,4857;0,03801
29.12.2006;1;76,63;0,498880136;0,267982788;7,0949;10250;61,05;6,299;12463,15;1,3197;1,9588;0,128;0,008399;0,03798;0,022595;0,4676;0,04807
29.09.2006;1;67,1;0,572275579;0,297942489;7,3667;10490;62,91;5,62;11679,07;1,2674;1,8721;0,12652;0,008462;0,03732;0,021772;0,4598;0,05033
30.06.2006;1;61,35;0,605962151;0,317400129;7,219;10360;73,93;6,104;11150,22;1,2791;1,8483;0,1251;0,008739;0,03725;0,021713;0,462;0,05011
31.03.2006;1;60,86;0,586638349;0,30543749;7,1081;8400;66,63;7,21;11109,32;1,2118;1,7372;0,12473;0,008491;0,03611;0,022411;0,4618;0,04877
30.12.2005;1;56,17;0,604762493;0,332993111;6,9661;10710;61,04;11,225;10717,5;1,1849;1,723;0,1239;0,008494;0,03476;0,022204;0,4277;0,04981
30.09.2005;1;63,54;0,530440999;0,272882923;7,8385;9920;66,24;13,921;10568,7;1,2026;1,7643;0,12356;0,008812;0,03503;0,02272;0,4484;0,04607
30.06.2005;1;57,47;0,556955175;0,288655426;8,6868;7640;56,5;6,981;10274,97;1,2108;1,7915;0,12077;0,009015;0,03493;0,022973;0,4287;0,04079
31.03.2005;1;59,6;0,530451181;0,273322633;8,0272;7860;55,4;7,653;10503,76;1,2964;1,8905;0,12082;0,009333;0,03587;0,022855;0,372;0,03543
31.12.2004;1;51,26;0,595083569;0,322167277;7,8452;8420;43,45;6,149;10783,01;1,3554;1,9182;0,12082;0,009744;0,03606;0,022999;0,3769;0,03121
30.09.2004;1;48,33;0,60114932;0,306108814;10,5918;5680;49,64;6,795;10080,27;1,2436;1,812;0,12082;0,009087;0,03422;0,021751;0,3496;0,02772
30.06.2004;1;44,41;0,626455535;0,323751822;10,5094;5790;37,05;6,155;10435,48;1,22;1,8204;0,12082;0,009194;0,0344;0,02175;0,3243;0,02217
31.03.2004;1;41,59;0,662506204;0,337061916;10,8736;5440;35,76;5,933;10357,7;1,2316;1,8462;0,12081;0,009591;0,0351;0,023;0,3454;0,01705
31.12.2003;1;41;0,647180714;0,346458067;10,2308;6650;32,52;6,189;10453,92;1,2595;1,7858;0,12082;0,009327;0,0342;0,0219;0,346;0,01266
30.09.2003;1;36,6;0,69034443;0,346290495;11,4835;3650;29,2;4,83;9275,06;1,1657;1,6618;0,12081;0,008968;0,0326;0,02185;0,3448;0,00943
30.06.2003;1;35,91;0,691173882;0,345710438;12,2764;4170;30,19;5,411;8985,44;1,1512;1,6546;0,1208;0,008348;0,0329;0,0211;0,352;0,00922
31.03.2003;1;34,95;0,69607487;0,340915835;13,3957;7040;31,04;5,06;7992,13;1,0915;1,5827;0,12081;0,008466;0,0319;0,02105;0,2982;0,00943
31.12.2002;1;34,94;0,652051705;0,330481251;13,8926;4090;31,2;4,789;8341,63;1,0492;1,61;0,12081;0,008416;0,0313;0,0209;0,2825;0,00851
30.09.2002;1;31,9;0,696340315;0,347953531;14,5709;2640;30,45;4,138;7591,93;0,9866;1,5684;0,12081;0,008215;0,03156;0,02067;0,2674;0,01113
28.06.2002;1;40,92;0,536108168;0,271678001;15,055;2640;26,86;3,245;9243,26;0,9915;1,5335;0,12081;0,008363;0,03177;0,02045;0,3549;0,01195
28.03.2002;1;43,83;0,477828704;0,24345086;14,5273;2090;26,31;3,283;10403,94;0,8717;1,4259;0,12081;0,007534;0,03204;0,02049;0,4301;0,01552
31.12.2001;1;39,3;0,536334438;0,284646016;14,2158;2680;19,84;2,57;10021,5;0,8895;1,4546;0,12082;0,007595;0,03278;0,02072;0,4328;0,01685
28.09.2001;1;39,4;0,548817051;0,273937276;15,0803;3180;23,43;2,244;8847,56;0,9114;1,4744;0,12081;0,008364;0,03394;0,02089;0,3743;0,01777
29.06.2001;1;43,675;0,494636789;0,244450935;15,3192;4460;26,25;3,096;10502,4;0,849;1,4153;0,12082;0,008021;0,0343;0,02126;0,4309;0,01725
30.03.2001;1;40,5;0,532424405;0,257251744;17,847;5000;26,29;5,025;9878,78;0,8767;1,4161;0,1208;0,007916;0,03477;0,02145;0,4651;0,02371
29.12.2000;1;43,4688;0,494624794;0,245609427;18,1667;5220;26,8;9,775;10786,85;0,9427;1,493;0,12081;0,008741;0,03551;0,02141;0,5128;0,03656
29.09.2000;1;44,5528;0,478648036;0,219903923;20,9085;4490;30,84;5,186;10650,92;0,8828;1,4754;0,12077;0,009247;0,03599;0,02173;0,5423;0,04286
