"";"mean";"median";"sd";"min";"max"
"Stock";60,1777;60,86;23,2433;20,8125;101,2
"Assets.to.Market.Cap";0,6832;0,6472;0,1629;0,468;1,1006
"BV.Equity.to.Market.Cap";0,3406;0,3264;0,0861;0,2199;0,5713
"Debt.to.Equity";13,6795;11,6451;5,9478;6,7465;28,2515
"Net.Income";6350,6329;6050;3449,6701;1400;15910
