"";"mean";"median";"sd";"min";"max"
"Stock";45,7258;44,4371;31,913;8,0936;100,2316
"Assets.to.Market.Cap";1,2338;0,9412;0,5759;0,5645;2,5993
"BV.Equity.to.Market.Cap";0,5534;0,5476;0,1308;0,343;0,9411
"Debt.to.Equity";48,9507;25,0135;49,1409;6,567;208,2616
"Net.Income";607,5443;564;1098,3769;-5178;2297
