"";"mean";"median";"sd";"min";"max"
"Stock";34,5204;37,54;11,2908;11,2;53,24
"Assets.to.Market.Cap";3,2332;2,7765;1,3927;1,9652;8,6975
"BV.Equity.to.Market.Cap";0,7181;0,6944;0,1603;0,4144;1,434
"Debt.to.Equity";146,3426;121,6803;78,5786;87,6264;500,484
"Net.Income";191,9811;233,695;690,1609;-4117;3033
