"";"Oil";"Gas";"Market";"EURUSD"
"mean";0,00732426628950329;-0,00281575140008673;0,0144286508739715;-0,00211381524661981
"sd";0,186220995452939;0,249431179628225;0,0809953396836262;0,0516867259206922
"min";-0,813815933926112;-0,66540265192629;-0,21216074626386;-0,119903400739732
"q(25)";-0,100596705876597;-0,156024474812717;-0,0260403009496306;-0,0322808468426901
"q(50)";0,0360348508375599;0,0148620862687283;0,0214607901265822;-0,00404945791984226
"q(75)";0,114538657937615;0,158166071639749;0,0698894527058198;0,0310098849643375
"max";0,341722797409017;0,690206318418166;0,1576100037126;0,12877361994232
"skew";-1,29225320063993;-0,113454693412472;-0,647855073462444;0,000189535244977829
"kurtosis";3,87514383605582;0,393084154079387;0,107158257240749;-0,325131142517407
