"";"mean";"median";"sd";"min";"max"
"Stock";35,4163;38,6359;19,8664;8,3602;84,6158
"Assets.to.Market.Cap";1,1367;1,0055;0,4512;0,6029;3,0334
"BV.Equity.to.Market.Cap";0,5674;0,4627;0,2424;0,2997;1,4481
"Debt.to.Equity";30,7945;25,9095;14,5809;6,5752;60,0824
"Net.Income";117,9371;113,153;254,1986;-1595,426;619,204
