"";"mean";"median";"sd";"min";"max"
"Stock";68,3594;62,06;29,4449;29,5;130,55
"Assets.to.Market.Cap";0,9452;0,9012;0,2204;0,6159;1,8083
"BV.Equity.to.Market.Cap";0,492;0,4451;0,158;0,275;1,0504
"Debt.to.Equity";25,7933;22,9478;15,2046;7,3421;51,8233
"Net.Income";3051,2911;3070;2339,8149;-2522;7893
