"";"mean";"median";"sd";"min";"max"
"Stock";18,1315;17,9759;6,1686;7,05;37,7799
"Assets.to.Market.Cap";3,5996;3,0102;1,6406;1,9961;9,5157
"BV.Equity.to.Market.Cap";0,5561;0,4994;0,2281;0,2642;1,6642
"Debt.to.Equity";356,6134;233,8544;234,816;95,4322;1284,9096
"Net.Income";49,0653;105;556,5818;-4124,493;1704,739
