"";"mean";"median";"sd";"min";"max"
"Stock";44,7869;43,45;25,9308;14,7533;126,19
"Assets.to.Market.Cap";1,7683;1,6047;0,5216;0,7487;3,5081
"BV.Equity.to.Market.Cap";0,7483;0,6748;0,2524;0,2704;1,5614
"Debt.to.Equity";55,5231;48,8357;27,301;23,0014;117,4865
"Net.Income";280,7446;257;472,9207;-1821;1925
