"";"mean";"median";"sd";"min";"max"
"Stock";57,6625;61,23;34,9352;10,9578;139
"Assets.to.Market.Cap";1,2225;1,1051;0,3759;0,6857;2,3713
"BV.Equity.to.Market.Cap";0,6321;0,5646;0,199;0,2515;1,1925
"Debt.to.Equity";46,5537;35,6513;26,9979;20,7967;207,5922
"Net.Income";-39,6362;276,961;1588,2955;-7213;1445,229
