"";"mean";"sd";"min";"max"
"Stock";43,13;21,65;12,51;92,34
"A.MCAP";1,87;1,11;0,94;7,04
"BVE.MCAP";0,59;0,24;0,27;1,65
"D.MCAP";97,29;56,82;37,68;310,68
"NI";1186,45;1200,02;-2937,1;4056,13
