"";"mean";"sd";"min";"max"
"Oil";0,01;0,19;-0,81;0,34
"Gas";0;0,25;-0,67;0,69
"Market";-0,01;0,08;-0,21;0,14
"EURUSD";0;0,05;-0,12;0,13
"GBPUSD";0;0,05;-0,2;0,14
"CNYUSD";0;0,01;-0,03;0,04
"JPYUSD";0;0,06;-0,11;0,18
"RUBUSD";-0,03;0,13;-0,94;0,09
"INRUSD";-0,01;0,04;-0,09;0,07
"BRLUSD";-0,02;0,09;-0,35;0,17
